Name,ID,Mobile URL,Image URL,Image URL Hi,Price,Sale Price,Euro Price,Euro Sale Price,New Item,Position,Category Name,Description,Colors,Mobile URL Colors,Sizes,Stock Levels
Backpack,307053,https://www.supremenewyork.com/mobile/#products/307053,https://d17ol771963kd3.cloudfront.net/247174/ca/bUyu4-Ypoqs.jpg,https://assets.supremenewyork.com/247174/rc/bUyu4-Ypoqs.jpg,138.00,0.00,158.00,0.00,False,54,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with single layer laptop sleeve. Front zip compartment with interior velcro mesh pocket. Additional front zip pockets and elastic mesh side pockets. Padded mesh back panel and adjustable shoulder straps with buckle closure. Woven logo webbing at straps and front with webbing handle. Woven logo label at lower front. 22L. ,"Silver,Red,Olive,Black","'https://www.supremenewyork.com/mobile/#products/307053/36755', 'https://www.supremenewyork.com/mobile/#products/307053/36756', 'https://www.supremenewyork.com/mobile/#products/307053/36757', 'https://www.supremenewyork.com/mobile/#products/307053/36758'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Black'"
Large Haul Tote,307009,https://www.supremenewyork.com/mobile/#products/307009,https://d17ol771963kd3.cloudfront.net/247147/ca/SvcqKbLfKfk.jpg,https://assets.supremenewyork.com/247147/rc/SvcqKbLfKfk.jpg,128.00,0.00,148.00,0.00,False,55,Bags,"Water resistant Cordura® recycled nylon with embossed logo lining. Open top main compartment with buckle closure. Additional pouch pocket at front. Adjustable shoulder strap and woven logo webbing handles at top and sides. Compression straps at sides. Woven logo label at front. 15"" x 25"" x 16"". 80L.","Red,Silver,Black,Olive","'https://www.supremenewyork.com/mobile/#products/307009/36587', 'https://www.supremenewyork.com/mobile/#products/307009/36588', 'https://www.supremenewyork.com/mobile/#products/307009/36589', 'https://www.supremenewyork.com/mobile/#products/307009/36590'",N/A,"0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Silver', 1, 'END OF STOCK FOR Black', 1, 'END OF STOCK FOR Olive'"
Duffle Bag,307037,https://www.supremenewyork.com/mobile/#products/307037,https://d17ol771963kd3.cloudfront.net/247202/ca/c8TEMNnGcPI.jpg,https://assets.supremenewyork.com/247202/rc/c8TEMNnGcPI.jpg,128.00,0.00,148.00,0.00,False,56,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior zip pocket. Zip cargo pockets at front and zip stash pocket at back. Adjustable shoulder strap. Woven logo webbing with webbing handles at top. Woven logo label at front. 39L.,"Black,Red,Olive,Silver","'https://www.supremenewyork.com/mobile/#products/307037/36694', 'https://www.supremenewyork.com/mobile/#products/307037/36695', 'https://www.supremenewyork.com/mobile/#products/307037/36696', 'https://www.supremenewyork.com/mobile/#products/307037/36697'",N/A,"0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver'"
Shoulder Bag,307049,https://www.supremenewyork.com/mobile/#products/307049,https://d17ol771963kd3.cloudfront.net/247139/ca/3pvpGtOaNBs.jpg,https://assets.supremenewyork.com/247139/rc/3pvpGtOaNBs.jpg,46.00,0.00,54.00,0.00,False,57,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Additional front zip pocket with interior hanging key clip. Adjustable woven logo webbing shoulder strap. Woven logo webbing at front zip pocket. 2.5L,"Olive,Silver,Black,Red","'https://www.supremenewyork.com/mobile/#products/307049/36732', 'https://www.supremenewyork.com/mobile/#products/307049/36733', 'https://www.supremenewyork.com/mobile/#products/307049/36734', 'https://www.supremenewyork.com/mobile/#products/307049/36735'",N/A,"0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red'"
Small Waist Bag,307022,https://www.supremenewyork.com/mobile/#products/307022,https://d17ol771963kd3.cloudfront.net/247183/ca/6rfNS9XlISI.jpg,https://assets.supremenewyork.com/247183/rc/6rfNS9XlISI.jpg,42.00,0.00,48.00,0.00,False,58,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Adjustable woven logo webbing waist strap with buckle closure. Woven logo label at front zip pocket. 1L.,"Silver,Black,Olive,Red","'https://www.supremenewyork.com/mobile/#products/307022/36639', 'https://www.supremenewyork.com/mobile/#products/307022/36640', 'https://www.supremenewyork.com/mobile/#products/307022/36641', 'https://www.supremenewyork.com/mobile/#products/307022/36642'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Red'"
Organizer Pouch Set,307004,https://www.supremenewyork.com/mobile/#products/307004,https://d17ol771963kd3.cloudfront.net/247217/ca/XmzY0LHnBgs.jpg,https://assets.supremenewyork.com/247217/rc/XmzY0LHnBgs.jpg,48.00,0.00,58.00,0.00,False,59,Bags,"Set of three water resistant Cordura® recycled nylon organizer pouches. <br>Small 3.9"" x 7.9"". <br>Medium 8.3"" x 9.8"". <br>Large 11"" x 12.6"".","Black,Red,Silver,Olive","'https://www.supremenewyork.com/mobile/#products/307004/36569', 'https://www.supremenewyork.com/mobile/#products/307004/36570', 'https://www.supremenewyork.com/mobile/#products/307004/36571', 'https://www.supremenewyork.com/mobile/#products/307004/36572'",N/A,"1, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 1, 'END OF STOCK FOR Silver', 1, 'END OF STOCK FOR Olive'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Skateboard,307102,https://www.supremenewyork.com/mobile/#products/307102,https://d17ol771963kd3.cloudfront.net/248854/ca/A6BqzVC8ydY.jpg,https://assets.supremenewyork.com/248854/rc/A6BqzVC8ydY.jpg,78.00,0.00,88.00,0.00,True,71,Skate,Full dipped Supreme skate deck with printed graphic on bottom and printed logos on top. Original artwork from TEKKEN™. ,"Black - 8.125"" x 32""",'https://www.supremenewyork.com/mobile/#products/307102/36912',8 1/8,"0, 'END OF STOCK FOR Black - 8.125"" x 32""'"
Supreme®/Independent® Truck,307023,https://www.supremenewyork.com/mobile/#products/307023,https://d17ol771963kd3.cloudfront.net/247730/ca/tgjDbiZPJLQ.jpg,https://assets.supremenewyork.com/247730/rc/tgjDbiZPJLQ.jpg,64.00,0.00,80.00,0.00,False,69,Skate,Classic Independent® truck with custom Supreme art. Each size sold separately as a pair of two trucks. Made exclusively for Supreme.,Silver,'https://www.supremenewyork.com/mobile/#products/307023/36643',"129 ,139 ,149 ","1, 1, 1, 'END OF STOCK FOR Silver'"
Supreme®/Spitfire® <br>Shop Wheels (Set of 4),307054,https://www.supremenewyork.com/mobile/#products/307054,https://d17ol771963kd3.cloudfront.net/247714/ca/rfzWqznnu2k.jpg,https://assets.supremenewyork.com/247714/rc/rfzWqznnu2k.jpg,32.00,0.00,48.00,0.00,False,70,Skate,Classic Spitfire® wheels with custom Supreme art. Each size sold separately as a set of four wheels. 52mm & 54mm wheels are classic 99D hard urethane. Made exclusively for Supreme.,"Swirl 54mm,White 52mm","'https://www.supremenewyork.com/mobile/#products/307054/36759', 'https://www.supremenewyork.com/mobile/#products/307054/36760'",54MM,"1, 'END OF STOCK FOR Swirl 54mm', 1, 'END OF STOCK FOR White 52mm'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Shirt,307101,https://www.supremenewyork.com/mobile/#products/307101,https://d17ol771963kd3.cloudfront.net/248928/ca/LnfwhzQwBEc.jpg,https://assets.supremenewyork.com/248928/rc/LnfwhzQwBEc.jpg,178.00,0.00,198.00,0.00,True,11,Shirts,All cotton with printed graphic and single chest pocket. Original artwork from TEKKEN™. ,Multicolor,'https://www.supremenewyork.com/mobile/#products/307101/36911',"Small,Medium,Large,XLarge","0, 1, 0, 1, 'END OF STOCK FOR Multicolor'"
