Name,ID,Mobile URL,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors,Mobile URL Colors,Sizes,Stock Levels
Backpack,8856,https://www.supremenewyork.com/mobile/#products/8856,https://d17ol771963kd3.cloudfront.net/247174/ca/bUyu4-Ypoqs.jpg,https://assets.supremenewyork.com/247174/rc/bUyu4-Ypoqs.jpg,24200.00,0.00,False,64,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with single layer laptop sleeve. Front zip compartment with interior velcro mesh pocket. Additional front zip pockets and elastic mesh side pockets. Padded mesh back panel and adjustable shoulder straps with buckle closure. Woven logo webbing at straps and front with webbing handle. Woven logo label at lower front. 22L. ,"Silver,Red,Olive,Black","'https://www.supremenewyork.com/mobile/#products/8856/32942', 'https://www.supremenewyork.com/mobile/#products/8856/32943', 'https://www.supremenewyork.com/mobile/#products/8856/32944', 'https://www.supremenewyork.com/mobile/#products/8856/32945'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Red', 1, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Black'"
Large Haul Tote,8899,https://www.supremenewyork.com/mobile/#products/8899,https://d17ol771963kd3.cloudfront.net/247147/ca/SvcqKbLfKfk.jpg,https://assets.supremenewyork.com/247147/rc/SvcqKbLfKfk.jpg,20900.00,0.00,False,65,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Open top main compartment with buckle closure. Additional pouch pocket at front. Adjustable shoulder strap and woven logo webbing handles at top and sides. Compression straps at sides. Woven logo label at front. 34 x 65 x 38 cm 80L.,"Red,Silver,Black,Olive","'https://www.supremenewyork.com/mobile/#products/8899/33125', 'https://www.supremenewyork.com/mobile/#products/8899/33126', 'https://www.supremenewyork.com/mobile/#products/8899/33127', 'https://www.supremenewyork.com/mobile/#products/8899/33128'",N/A,"0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Silver', 1, 'END OF STOCK FOR Black', 1, 'END OF STOCK FOR Olive'"
Duffle Bag,8895,https://www.supremenewyork.com/mobile/#products/8895,https://d17ol771963kd3.cloudfront.net/247202/ca/c8TEMNnGcPI.jpg,https://assets.supremenewyork.com/247202/rc/c8TEMNnGcPI.jpg,22000.00,0.00,False,66,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior zip pocket. Zip cargo pockets at front and zip stash pocket at back. Adjustable shoulder strap. Woven logo webbing with webbing handles at top. Woven logo label at front. 39L.,"Black,Red,Olive,Silver","'https://www.supremenewyork.com/mobile/#products/8895/33111', 'https://www.supremenewyork.com/mobile/#products/8895/33112', 'https://www.supremenewyork.com/mobile/#products/8895/33113', 'https://www.supremenewyork.com/mobile/#products/8895/33114'",N/A,"0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver'"
Shoulder Bag,8888,https://www.supremenewyork.com/mobile/#products/8888,https://d17ol771963kd3.cloudfront.net/247139/ca/3pvpGtOaNBs.jpg,https://assets.supremenewyork.com/247139/rc/3pvpGtOaNBs.jpg,8800.00,0.00,False,67,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Additional front zip pocket with interior hanging key clip. Adjustable woven logo webbing shoulder strap. Woven logo webbing at front zip pocket. 2.5L,"Olive,Silver,Black,Red","'https://www.supremenewyork.com/mobile/#products/8888/33080', 'https://www.supremenewyork.com/mobile/#products/8888/33081', 'https://www.supremenewyork.com/mobile/#products/8888/33082', 'https://www.supremenewyork.com/mobile/#products/8888/33083'",N/A,"0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red'"
Small Waist Bag,8860,https://www.supremenewyork.com/mobile/#products/8860,https://d17ol771963kd3.cloudfront.net/247183/ca/3KJij_hFGmg.jpg,https://assets.supremenewyork.com/247183/rc/3KJij_hFGmg.jpg,7700.00,0.00,False,68,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Adjustable woven logo webbing waist strap with buckle closure. Woven logo label at front zip pocket. 1L.,"Silver,Black,Olive,Red","'https://www.supremenewyork.com/mobile/#products/8860/32964', 'https://www.supremenewyork.com/mobile/#products/8860/32965', 'https://www.supremenewyork.com/mobile/#products/8860/32966', 'https://www.supremenewyork.com/mobile/#products/8860/32967'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Red'"
Organizer Pouch Set,8891,https://www.supremenewyork.com/mobile/#products/8891,https://d17ol771963kd3.cloudfront.net/247217/ca/XmzY0LHnBgs.jpg,https://assets.supremenewyork.com/247217/rc/XmzY0LHnBgs.jpg,8800.00,0.00,False,69,Bags,Set of three water resistant Cordura® recycled nylon organizer pouches. <br>Small 10 x 19.5 cm<br>Medium 20.5 x 25.5 cm<br>Large 27 x 31 cm,"Black,Red,Silver,Olive","'https://www.supremenewyork.com/mobile/#products/8891/33093', 'https://www.supremenewyork.com/mobile/#products/8891/33094', 'https://www.supremenewyork.com/mobile/#products/8891/33095', 'https://www.supremenewyork.com/mobile/#products/8891/33096'",N/A,"1, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Olive'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Skateboard,8982,https://www.supremenewyork.com/mobile/#products/8982,https://d17ol771963kd3.cloudfront.net/248854/ca/A6BqzVC8ydY.jpg,https://assets.supremenewyork.com/248854/rc/A6BqzVC8ydY.jpg,16500.00,0.00,True,82,Skate,Full dipped Supreme skate deck with printed graphic on bottom and printed logos on top. Original artwork from TEKKEN™. ,"Black - 8.125"" x 32""",'https://www.supremenewyork.com/mobile/#products/8982/33397',N/A,"0, 'END OF STOCK FOR Black - 8.125"" x 32""'"
Supreme®/Independent® Truck,8929,https://www.supremenewyork.com/mobile/#products/8929,https://d17ol771963kd3.cloudfront.net/247730/ca/tgjDbiZPJLQ.jpg,https://assets.supremenewyork.com/247730/rc/tgjDbiZPJLQ.jpg,8800.00,0.00,False,80,Skate,Classic Independent® truck with custom Supreme art. Each size sold separately as a pair of two trucks. Made exclusively for Supreme.,Silver,'https://www.supremenewyork.com/mobile/#products/8929/33232',"129,139,149","1, 1, 1, 'END OF STOCK FOR Silver'"
Supreme®/Spitfire® <br>Shop Wheels (Set of 4),8878,https://www.supremenewyork.com/mobile/#products/8878,https://d17ol771963kd3.cloudfront.net/247714/ca/rfzWqznnu2k.jpg,https://assets.supremenewyork.com/247714/rc/rfzWqznnu2k.jpg,7700.00,0.00,False,81,Skate,Classic Spitfire® wheels with custom Supreme art. Each size sold separately as a set of four wheels. 52mm & 54mm wheels are classic 99D hard urethane. Made exclusively for Supreme.,"Swirl 54mm,White 52mm","'https://www.supremenewyork.com/mobile/#products/8878/33034', 'https://www.supremenewyork.com/mobile/#products/8878/33035'",N/A,"1, 'END OF STOCK FOR Swirl 54mm', 1, 'END OF STOCK FOR White 52mm'"
Box Logo T-Shirt Skateboard,8896,https://www.supremenewyork.com/mobile/#products/8896,https://d17ol771963kd3.cloudfront.net/247601/ca/kg9xTgvpPJg.jpg,https://assets.supremenewyork.com/247601/rc/kg9xTgvpPJg.jpg,13200.00,0.00,False,83,Skate,Supreme skate deck with natural veneer and black top ply. Printed graphic on bottom with printed World Famous and box logo on top. Painted by Robby Rose. ,"White - 8.5"" x 32""",'https://www.supremenewyork.com/mobile/#products/8896/33115',N/A,"1, 'END OF STOCK FOR White - 8.5"" x 32""'"
