Name,ID,Mobile URL,Image URL,Image URL Hi,Price,Sale Price,New Item,Position,Category Name,Description,Colors,Mobile URL Colors,Sizes,Stock Levels
Backpack,175303,https://www.supremenewyork.com/mobile/#products/175303,https://assets.supremenewyork.com/247174/ca/bUyu4-Ypoqs.jpg,https://assets.supremenewyork.com/247174/rc/bUyu4-Ypoqs.jpg,158.00,0.00,False,54,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with single layer laptop sleeve. Front zip compartment with interior velcro mesh pocket. Additional front zip pockets and elastic mesh side pockets. Padded mesh back panel and adjustable shoulder straps with buckle closure. Woven logo webbing at straps and front with webbing handle. Woven logo label at lower front. 22L. ,"Silver,Red,Olive,Black","'https://www.supremenewyork.com/mobile/#products/175303/34696', 'https://www.supremenewyork.com/mobile/#products/175303/34697', 'https://www.supremenewyork.com/mobile/#products/175303/34698', 'https://www.supremenewyork.com/mobile/#products/175303/34699'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Red', 1, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Black'"
Large Haul Tote,175260,https://www.supremenewyork.com/mobile/#products/175260,https://assets.supremenewyork.com/247147/ca/SvcqKbLfKfk.jpg,https://assets.supremenewyork.com/247147/rc/SvcqKbLfKfk.jpg,148.00,0.00,False,55,Bags,"Water resistant Cordura® recycled nylon with embossed logo lining. Open top main compartment with buckle closure. Additional pouch pocket at front. Adjustable shoulder strap and woven logo webbing handles at top and sides. Compression straps at sides. Woven logo label at front. 15"" x 25"" x 16"". 80L.","Red,Silver,Black,Olive","'https://www.supremenewyork.com/mobile/#products/175260/34520', 'https://www.supremenewyork.com/mobile/#products/175260/34521', 'https://www.supremenewyork.com/mobile/#products/175260/34522', 'https://www.supremenewyork.com/mobile/#products/175260/34523'",N/A,"0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Silver', 1, 'END OF STOCK FOR Black', 1, 'END OF STOCK FOR Olive'"
Duffle Bag,175327,https://www.supremenewyork.com/mobile/#products/175327,https://assets.supremenewyork.com/247202/ca/c8TEMNnGcPI.jpg,https://assets.supremenewyork.com/247202/rc/c8TEMNnGcPI.jpg,148.00,0.00,False,56,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior zip pocket. Zip cargo pockets at front and zip stash pocket at back. Adjustable shoulder strap. Woven logo webbing with webbing handles at top. Woven logo label at front. 39L.,"Black,Red,Olive,Silver","'https://www.supremenewyork.com/mobile/#products/175327/34778', 'https://www.supremenewyork.com/mobile/#products/175327/34779', 'https://www.supremenewyork.com/mobile/#products/175327/34780', 'https://www.supremenewyork.com/mobile/#products/175327/34781'",N/A,"0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver'"
Shoulder Bag,175331,https://www.supremenewyork.com/mobile/#products/175331,https://assets.supremenewyork.com/247139/ca/3pvpGtOaNBs.jpg,https://assets.supremenewyork.com/247139/rc/3pvpGtOaNBs.jpg,54.00,0.00,False,57,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Additional front zip pocket with interior hanging key clip. Adjustable woven logo webbing shoulder strap. Woven logo webbing at front zip pocket. 2.5L,"Olive,Silver,Black,Red","'https://www.supremenewyork.com/mobile/#products/175331/34796', 'https://www.supremenewyork.com/mobile/#products/175331/34797', 'https://www.supremenewyork.com/mobile/#products/175331/34798', 'https://www.supremenewyork.com/mobile/#products/175331/34799'",N/A,"0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red'"
Small Waist Bag,175272,https://www.supremenewyork.com/mobile/#products/175272,https://assets.supremenewyork.com/247183/ca/3KJij_hFGmg.jpg,https://assets.supremenewyork.com/247183/rc/3KJij_hFGmg.jpg,48.00,0.00,False,58,Bags,Water resistant Cordura® recycled nylon with embossed logo lining. Main zip compartment with interior velcro mesh pocket. Adjustable woven logo webbing waist strap with buckle closure. Woven logo label at front zip pocket. 1L.,"Silver,Black,Olive,Red","'https://www.supremenewyork.com/mobile/#products/175272/34572', 'https://www.supremenewyork.com/mobile/#products/175272/34573', 'https://www.supremenewyork.com/mobile/#products/175272/34574', 'https://www.supremenewyork.com/mobile/#products/175272/34575'",N/A,"0, 'END OF STOCK FOR Silver', 0, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Olive', 0, 'END OF STOCK FOR Red'"
Organizer Pouch Set,175300,https://www.supremenewyork.com/mobile/#products/175300,https://assets.supremenewyork.com/247217/ca/XmzY0LHnBgs.jpg,https://assets.supremenewyork.com/247217/rc/XmzY0LHnBgs.jpg,58.00,0.00,False,59,Bags,"Set of three water resistant Cordura® recycled nylon organizer pouches. <br>Small 3.9"" x 7.9"". <br>Medium 8.3"" x 9.8"". <br>Large 11"" x 12.6"".","Black,Red,Silver,Olive","'https://www.supremenewyork.com/mobile/#products/175300/34688', 'https://www.supremenewyork.com/mobile/#products/175300/34689', 'https://www.supremenewyork.com/mobile/#products/175300/34690', 'https://www.supremenewyork.com/mobile/#products/175300/34691'",N/A,"1, 'END OF STOCK FOR Black', 0, 'END OF STOCK FOR Red', 1, 'END OF STOCK FOR Silver', 1, 'END OF STOCK FOR Olive'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Skateboard,175384,https://www.supremenewyork.com/mobile/#products/175384,https://assets.supremenewyork.com/248854/ca/A6BqzVC8ydY.jpg,https://assets.supremenewyork.com/248854/rc/A6BqzVC8ydY.jpg,78.00,0.00,True,71,Skate,Full dipped Supreme skate deck with printed graphic on bottom and printed logos on top. Original artwork from TEKKEN™. ,"Black - 8.125"" x 32""",'https://www.supremenewyork.com/mobile/#products/175384/34965',8 1/8,"1, 'END OF STOCK FOR Black - 8.125"" x 32""'"
Supreme®/Independent® Truck,175261,https://www.supremenewyork.com/mobile/#products/175261,https://assets.supremenewyork.com/247730/ca/tgjDbiZPJLQ.jpg,https://assets.supremenewyork.com/247730/rc/tgjDbiZPJLQ.jpg,60.00,0.00,False,69,Skate,Classic Independent® truck with custom Supreme art. Each size sold separately as a pair of two trucks. Made exclusively for Supreme.,Silver,'https://www.supremenewyork.com/mobile/#products/175261/34524',"129,139,149","1, 1, 1, 'END OF STOCK FOR Silver'"
Supreme®/Spitfire® <br>Shop Wheels (Set of 4),175310,https://www.supremenewyork.com/mobile/#products/175310,https://assets.supremenewyork.com/247714/ca/rfzWqznnu2k.jpg,https://assets.supremenewyork.com/247714/rc/rfzWqznnu2k.jpg,36.00,0.00,False,70,Skate,Classic Spitfire® wheels with custom Supreme art. Each size sold separately as a set of four wheels. 52mm & 54mm wheels are classic 99D hard urethane. Made exclusively for Supreme.,"Swirl 54mm,White 52mm","'https://www.supremenewyork.com/mobile/#products/175310/34718', 'https://www.supremenewyork.com/mobile/#products/175310/34719'",54MM,"1, 'END OF STOCK FOR Swirl 54mm', 1, 'END OF STOCK FOR White 52mm'"
Supreme®/Yohji Yamamoto® <br>TEKKEN™ Shirt,175388,https://www.supremenewyork.com/mobile/#products/175388,https://assets.supremenewyork.com/248928/ca/LnfwhzQwBEc.jpg,https://assets.supremenewyork.com/248928/rc/LnfwhzQwBEc.jpg,198.00,0.00,True,12,Shirts,All cotton with printed graphic and single chest pocket. Original artwork from TEKKEN™. ,Multicolor,'https://www.supremenewyork.com/mobile/#products/175388/34975',"Small,Medium,Large,XLarge","0, 0, 0, 0, 'END OF STOCK FOR Multicolor'"
